NemInSignature	OfficialGeneSymbol	Affy_geneIDs	Entrez_Gene_ID	ensembl_gene_id	Component
CFH	CFH	CFH	3075	ENSG00000000971	IRE38_DOWN
CFI	CFI	CFI	3426	ENSG00000205403	IRE38_DOWN
CLEC3B	CLEC3B	CLEC3B	7123	ENSG00000163815	IRE38_DOWN
COL3A1	COL3A1	COL3A1	1281	ENSG00000168542	IRE38_DOWN
COL8A1	COL8A1	COL8A1	1295	ENSG00000144810	IRE38_DOWN
DACH1	DACH1	DACH1	1602	ENSG00000276644	IRE38_DOWN
DCN	DCN	DCN	1634	ENSG00000011465	IRE38_DOWN
FHL1	FHL1	FHL1	2273	ENSG00000022267	IRE38_DOWN
GAS1	GAS1	GAS1	2619	ENSG00000180447	IRE38_DOWN
LUM	LUM	LUM	4060	ENSG00000139329	IRE38_DOWN
OXTR	OXTR	OXTR	5021	ENSG00000180914	IRE38_DOWN
PLAC8	PLAC8	PLAC8	51316	ENSG00000145287	IRE38_DOWN
RGS4	RGS4	RGS4	5999	ENSG00000117152	IRE38_DOWN
TAGLN	TAGLN	TAGLN	6876	ENSG00000149591	IRE38_DOWN
TGFB2	TGFB2	TGFB2	7042	ENSG00000092969	IRE38_DOWN
THBS1	THBS1	THBS1	7057	ENSG00000137801	IRE38_DOWN
TIMP3	TIMP3	TIMP3	7078	ENSG00000100234	IRE38_DOWN
TMEM255A	TMEM255A	FAM70A	55026	ENSG00000125355	IRE38_DOWN
